Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
11/13/2022,FROM YOU FLOWERS    800-838-8853        CT,72.21,"86XDFVR4    FLOWERS
FROM YOU FLOWERS
800-838-8853
CT
FLOWERS",FROM YOU FLOWERS    800-838-8853        CT,143 ML ROCK RD EAST,"OLD SAYBROOK
CT",06475,UNITED STATES,'320223180720162643',Merchandise & Supplies-Internet Purchase
11/10/2022,CHICK-FIL-A #00772 0BURLINGTON          MA,21.38,"000107508   7812722110
CHICK-FIL-A #00772 000000000565143
BURLINGTON
MA
7812722110",CHICK-FIL-A #00772 0BURLINGTON          MA,75 MIDDLESEX TPKE STE 2110,"BURLINGTON
MA",01803,UNITED STATES,'320223150663163622',Restaurant-Bar & Café
11/10/2022,MICHAELS STORES     BURLINGTON          MA,121.08,"50660521687 ARTIST SUPPLY & CRAFT
MICHAELS STORES
BURLINGTON
MA
ARTIST SUPPLY & CRAFT",MICHAELS STORES     BURLINGTON          MA,34 CAMBRIDGE ST STE 19,"BURLINGTON
MA",01803,UNITED STATES,'320223150658578129',Merchandise & Supplies-Arts & Jewelry
10/22/2022,MOBILE PAYMENT - THANK YOU,-384.35,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320222950200510159',
10/21/2022,TST* SOGNO 300576325WOBURN              MA,384.35,"99999992294 7816251300
TST* SOGNO 300576325
WOBURN
MA
Description : RESTAURANTS Price : 3.8435
7816251300",TST* SOGNO 300576325WOBURN              MA,304 CAMBRIDGE RD,"WOBURN
MA",01801-6080,UNITED STATES,'320222940190898162',Restaurant-Restaurant
10/16/2022,MOBILE PAYMENT - THANK YOU,-722.86,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320222890065596468',
10/07/2022,TST* LA HACIENDA RESEAST BOSTON         MA,330.00,"99999992280 6175613737
TST* LA HACIENDA RESTAURA 300581684
EAST BOSTON
MA
Description : RESTAURANTS Price : 3.30
6175613737",TST* LA HACIENDA RESEAST BOSTON         MA,150 MERIDIAN ST TEST,"BOSTON
MA",02128-1944,UNITED STATES,'320222800870249269',Restaurant-Restaurant
10/07/2022,WHOLEFDS WOB 10233 0WOBURN              MA,94.49,"0E2LGQVELC4 7813769600
WHOLEFDS WOB 10233 000010233
WOBURN
MA
Description : GROCERY STORES Price : 0.9449
7813769600",WHOLEFDS WOB 10233 0WOBURN              MA,400 CAMBRIDGE RD,"WOBURN
MA",01801,UNITED STATES,'320222810895640803',Merchandise & Supplies-Groceries
09/26/2022,TST* LA HACIENDA RESEAST BOSTON         MA,127.33,"99999992269 6175613737
TST* LA HACIENDA RESTAURA 300581684
EAST BOSTON
MA
Description : RESTAURANTS Price : 1.2733
6175613737",TST* LA HACIENDA RESEAST BOSTON         MA,150 MERIDIAN ST TEST,"BOSTON
MA",02128-1944,UNITED STATES,'320222690626065965',Restaurant-Restaurant
09/22/2022,MOBILE PAYMENT - THANK YOU,-188.00,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320222650527187338',
09/22/2022,TST* FRANK BEVERLY 0BEVERLY             MA,171.04,"21105172266 RESTAURANT
TST* FRANK BEVERLY 00013289
BEVERLY
MA
RESTAURANT",TST* FRANK BEVERLY 0BEVERLY             MA,114 RANTOUL ST,"BEVERLY
MA",01915,UNITED STATES,'320222660562116628',Restaurant-Restaurant
09/08/2022,WHOLEFDS LNF #10452 LYNNFIELD           MA,84.99,"01P8Q5VA9SC 7817764300
WHOLEFDS LNF #10452 000010452
LYNNFIELD
MA
Description : GROCERY STORES Price : 0.8499
7817764300",WHOLEFDS LNF #10452 LYNNFIELD           MA,100 MARKET ST,"LYNNFIELD
MA",01940-4018,UNITED STATES,'320222520251616286',Merchandise & Supplies-Groceries
09/01/2022,NEWBURY COMICS      SAUGUS              MA,103.01,"024818      RECORD STORE
NEWBURY COMICS
SAUGUS
MA
Description : RECORDS/VIDEOTAPES/ Price : 0.00
RECORD STORE",NEWBURY COMICS      SAUGUS              MA,"180 MAIN ST
STE 6","SAUGUS
MA",01906-4502,UNITED STATES,'320222460136610226',Merchandise & Supplies-Music & Video
08/30/2022,MOBILE PAYMENT - THANK YOU,-470.20,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320222420023067254',
08/29/2022,RETURN PAYMENT FEE,29.00,RETURN PAYMENT FEE,RETURN PAYMENT FEE,,,,,'320222413004057910',Fees & Adjustments-Fees & Adjustments
08/28/2022,MEMBERSHIP FEE,250.00,MEMBERSHIP FEE,MEMBERSHIP FEE,,,,,'320222403981932539',Fees & Adjustments-Fees & Adjustments
08/25/2022,EXXONMOBIL 9745     BILLERICA           MA,47.81,"00906263    978-670-8800
EXXONMOBIL 9745
BILLERICA
MA
Description : 001 Price : 0.00
978-670-8800",EXXONMOBIL 9745     BILLERICA           MA,-,"(800) 243-9966
TX",77389,UNITED STATES,'320222380952590897',Transportation-Fuel
08/25/2022,MOBILE PAYMENT - THANK YOU,-143.39,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320222370914074897',
08/25/2022,RETURNED CHECK/DECLIANK TRANSACTIONS,143.39,"RETURNED CHECK/DECLINED BANK TRANSACTIONS
ANK TRANSACTIONS",RETURNED CHECK/DECLIANK TRANSACTIONS,,,,,'320222410019646928',Fees & Adjustments-Fees & Adjustments
08/18/2022,LEGO BRAND RETAIL INENFIELD             CT,74.36,"00071501142 HOBBY, TOY & GAME
LEGO BRAND RETAIL INC.
ENFIELD
CT
""HOBBY, TOY & GAME""",LEGO BRAND RETAIL INENFIELD             CT,75 MIDDLESEX TPKE 2064,"BURLINGTON
MA",01803-5310,UNITED STATES,'320222310802120650',Merchandise & Supplies-General Retail
08/18/2022,NEWBURY COMICS #4 00BURLINGTON          MA,29.73,"011401      RECORD STORE
NEWBURY COMICS #4 0000
BURLINGTON
MA
Description : RECORDS/VIDEOTAPES/ Price : 0.00
RECORD STORE",NEWBURY COMICS #4 00BURLINGTON          MA,"112 MALL RD
STE 6","BURLINGTON
MA",01803-5300,UNITED STATES,'320222320824655424',Merchandise & Supplies-Music & Video
08/11/2022,WHOLEFDS LNF #10452 LYNNFIELD           MA,39.30,"0OGQWBDNJCL 7817764300
WHOLEFDS LNF #10452 000010452
LYNNFIELD
MA
Description : GROCERY STORES Price : 0.393
7817764300",WHOLEFDS LNF #10452 LYNNFIELD           MA,100 MARKET ST,"LYNNFIELD
MA",01940-4018,UNITED STATES,'320222240641862110',Merchandise & Supplies-Groceries
