Transaction Date,Description,Category,Amount,Date,Amount (USD)
06/04/2023,Chipotle Mexican Grill,Restaurants,,,16.61
06/04/2023,IC* Instacart,Grocery,,,30.88
06/03/2023,Chipotle Mexican Grill,Restaurants,,,21.48
06/03/2023,Target,Other,,,10.61
06/03/2023,Ach Deposit Internet Transfer From Account Ending In 5551,Payment,,,-100.0
06/30/2023,Monthly Installments (3 Of 12),Installment,,,42.0
07/30/2023,Ach Deposit Internet Transfer From Account Ending In 5551,Payment,,,-22.39
07/29/2023,Tesla Store,Other,,,13.5
07/25/2023,Uber Eats,Restaurants,,,32.26
07/25/2023,SP Mattel Creations,Other,,,56.95
07/16/2023,Tesla Store,Other,,,10.14
07/16/2023,Ach Deposit Internet Transfer From Account Ending In 5551,Payment,,,-100.0
07/14/2023,Tesla Store,Other,,,7.8
07/14/2023,Tesla Store,Other,,,7.38
07/11/2023,Chipotle Mexican Grill,Restaurants,,,33.61
07/10/2023,Tesla Store,Other,,,9.99
07/31/2023,Monthly Installments (4 Of 12),Installment,,,42.0
07/31/2022,Ach Deposit Internet Transfer From Account Ending In 5551,Payment,,,-217.56
07/22/2022,Kell's Kreme,Grocery,,,31.73
07/21/2022,Uber,Restaurants,,,41.68
07/17/2022,Exxonmobil 97451678,Gas,,,50.56
07/16/2022,Uber Eats,Restaurants,,,22.71
07/15/2022,Apple Services,Other,,,12.1
07/13/2022,Pressed Cafe,Restaurants,,,48.69
07/11/2022,Frozen,Restaurants,,,10.09
01/29/2024,Tesla Store,Other,,,1.52
01/26/2024,Grubhub,Restaurants,,,61.61
01/28/2024,Wegmans,Grocery,,,15.52
01/27/2024,Ach Deposit Internet Transfer From Account Ending In 7422,Payment,,,-100.0
01/26/2024,LEGO Store,Other,,,63.74
01/24/2024,CVS Pharmacy,Other,,,27.29
01/23/2024,Chipotle Mexican Grill,Restaurants,,,24.88
01/20/2024,Ach Deposit Internet Transfer From Account Ending In 7422,Payment,,,-100.0
01/13/2024,Ach Deposit Internet Transfer From Account Ending In 7422,Payment,,,-100.0
01/13/2024,CVS Pharmacy,Other,,,13.27
01/12/2024,Market Basket,Grocery,,,45.7
01/10/2024,Brandeis Univ. Bkst #1,Other,,,10.57
01/10/2024,Tesla,Other,,,9.99
01/08/2024,Uber Eats,Restaurants,,,63.61
01/05/2024,Legoland,Entertainment,,,25.5
01/06/2024,Ach Deposit Internet Transfer From Account Ending In 7422,Payment,,,-100.0
01/05/2024,Tesla Store,Other,,,6.88
01/02/2024,Lucia,Restaurants,,,12.84
01/02/2024,Chipotle Mexican Grill,Restaurants,,,16.86
12/31/2023,Uber Eats,Restaurants,,,95.83
01/31/2024,Monthly Installments (10 Of 12),Installment,,,42.0
03/29/2024,GameStop,Entertainment,,,74.36
03/30/2024,Ach Deposit Internet Transfer From Account Ending In 7422,Payment,,,-100.0
03/27/2024,Tesla Supercharger,Other,,,6.84
03/23/2024,Ach Deposit Internet Transfer From Account Ending In 7422,Payment,,,-100.0
03/19/2024,Shake Shack,Restaurants,,,33.25
03/18/2024,Wndr Museum,Entertainment,,,70.0
03/15/2024,AMC 0814 Burlington 10,Entertainment,,,30.45
03/16/2024,Ach Deposit Internet Transfer From Account Ending In 7422,Payment,,,-100.0
03/10/2024,Teriyaki Madness Burli,Restaurants,,,18.92
03/10/2024,CVS Pharmacy,Other,,,14.99
03/10/2024,Tesla Subscription Us,Other,,,9.99
03/08/2024,Whole Foods Market,Grocery,,,32.92
03/08/2024,Tesla Supercharger,Other,,,8.97
03/09/2024,Ach Deposit Internet Transfer From Account Ending In 7422,Payment,,,-100.0
03/03/2024,Whole Foods Market,Grocery,,,24.42
03/01/2024,Five Guys,Restaurants,,,19.91
03/02/2024,Ach Deposit Internet Transfer From Account Ending In 7422,Payment,,,-100.0
03/31/2024,Monthly Installments (12 Of 12),Installment,,,42.0
11/23/2023,Ach Deposit Internet Transfer From Account Ending In 7422,Payment,,,-150.0
11/22/2023,Michaels Stores,Other,,,45.65
11/22/2023,Teriyaki Madness Burli,Restaurants,,,18.92
11/22/2023,Cold Stone Creamery,Restaurants,,,9.27
11/21/2023,Tesla Store,Other,,,10.5
11/20/2023,Tesla Store,Other,,,9.66
11/20/2023,Tesla Store,Other,,,12.6
11/19/2023,Target 00033241,Other,,,35.06
11/19/2023,Tesla Store,Other,,,4.29
11/19/2023,Tesla Store,Other,,,10.08
11/14/2023,Ach Deposit Internet Transfer From Account Ending In 7422,Payment,,,-100.0
11/10/2023,Chipotle Mexican Grill,Restaurants,,,28.52
11/10/2023,Whole Foods Market,Grocery,,,21.24
11/10/2023,Tesla,Other,,,9.99
11/03/2023,Uber Eats,Restaurants,,,66.42
11/30/2023,Monthly Installments (8 Of 12),Installment,,,42.0
04/26/2024,Nike,Shopping,,,98.0
04/26/2024,The Scoop N Scootery,Restaurants,,,17.71
04/25/2024,Bath & Body Works,Other,,,50.84
04/27/2024,Ach Deposit Internet Transfer From Account Ending In 7422,Payment,,,-100.0
04/23/2024,Lahey Clinic,Other,,,7.0
04/22/2024,CVS Pharmacy,Other,,,32.96
04/20/2024,Ach Deposit Internet Transfer From Account Ending In 7422,Payment,,,-100.0
04/13/2024,Ach Deposit Internet Transfer From Account Ending In 7422,Payment,,,-100.0
04/10/2024,Tesla Subscription Us,Other,,,9.99
04/06/2024,Whole Foods Market,Grocery,,,59.46
04/05/2024,Staples,Other,,,28.69
04/06/2024,Wndr Boston,Other,,,21.25
04/06/2024,Tesla Supercharger,Other,,,4.68
04/06/2024,Ach Deposit Internet Transfer From Account Ending In 7422,Payment,,,-100.0
04/01/2024,CVS Pharmacy,Other,,,20.89
11/14/2022,Ach Deposit Internet Transfer From Account Ending In 5551,Payment,,,-559.21
11/10/2022,Tesla Store,Utilities,,,9.99
11/07/2022,Ach Deposit Internet Transfer From Account Ending In 5551,Payment,,,-90.0
11/03/2022,Tesla Store,Other,,,13.8
11/02/2022,Ach Deposit Internet Transfer From Account Ending In 5551,Payment,,,-500.0
03/29/2023,Uber Eats,Restaurants,,,31.36
03/26/2023,Ach Deposit Internet Transfer From Account Ending In 5551,Payment,,,-172.52
03/18/2023,Uber Eats,Restaurants,,,68.61
03/18/2023,Ach Deposit Internet Transfer From Account Ending In 5551,Payment,,,-100.0
03/13/2023,Ach Deposit Internet Transfer From Account Ending In 5551,Payment,,,-100.0
03/10/2023,Tesla Store,Other,,,9.99
03/04/2023,Ach Deposit Internet Transfer From Account Ending In 5551,Payment,,,-100.0
04/29/2023,Ach Deposit Internet Transfer From Account Ending In 5551,Payment,,,-100.0
04/22/2023,Chipotle Mexican Grill,Restaurants,,,21.48
04/22/2023,Ach Deposit Internet Transfer From Account Ending In 5551,Payment,,,-100.0
04/21/2023,Uber Eats,Restaurants,,,63.73
04/20/2023,Tesla_us_service,Other,,,392.79
04/20/2023,Ach Deposit Internet Transfer From Account Ending In 5551,Payment,,,-200.0
04/18/2023,Chipotle Mexican Grill,Restaurants,,,21.48
04/16/2023,Uber Eats,Restaurants,,,28.75
04/16/2023,Ach Deposit Internet Transfer From Account Ending In 5551,Payment,,,-100.0
04/11/2023,Ach Deposit Internet Transfer From Account Ending In 5551,Payment,,,-109.96
04/10/2023,Tesla Store,Other,,,9.99
04/07/2023,Uber Eats,Restaurants,,,45.72
04/04/2023,Apple Burlington,Other,,,150.0
04/04/2023,Apple Store Burlington Ma,Other,,,68.69
03/31/2023,College Board,Other,,,25.0
04/30/2023,Monthly Installments (1 Of 12),Installment,,,42.0
