Transaction Date,Posted Date,Activity Type,Transaction Type,Description,Currency Code,Amount
05/28/2023,05/28/2023,Rewards,Credit,Daily Cash Deposit,USD,0.43
05/25/2023,05/25/2023,ACH,Credit,ACH Online transfer from CITIZENS BANK NA ******5551,USD,50.0
05/20/2023,05/20/2023,ACH,Credit,ACH Online transfer from CITIZENS BANK NA ******5551,USD,50.0
05/12/2023,05/12/2023,ACH,Credit,ACH Online transfer from CITIZENS BANK NA ******5551,USD,50.0
05/11/2023,05/11/2023,Rewards,Credit,Daily Cash Deposit,USD,0.1
05/07/2023,05/07/2023,Rewards,Credit,Daily Cash Deposit,USD,0.43
05/04/2023,05/04/2023,ACH,Credit,ACH Online transfer from CITIZENS BANK NA ******5551,USD,50.0
05/04/2023,05/04/2023,Rewards,Credit,Daily Cash Deposit,USD,0.71
04/30/2023,05/01/2023,Interest,Credit,Interest Paid,USD,0.1
04/27/2023,04/27/2023,ACH,Credit,ACH Online transfer from CITIZENS BANK NA ******5551,USD,50.0
04/24/2023,04/24/2023,Rewards,Credit,Daily Cash Deposit,USD,0.43
04/22/2023,04/22/2023,Rewards,Credit,Daily Cash Deposit,USD,1.91
04/21/2023,04/21/2023,Rewards,Credit,Daily Cash Deposit,USD,3.93
04/19/2023,04/19/2023,Rewards,Credit,Daily Cash Deposit,USD,0.43
04/18/2023,04/18/2023,ACH,Credit,ACH Online transfer from CITIZENS BANK NA ******5551,USD,50.0
04/30/2024,05/01/2024,Interest,Credit,Interest Paid,USD,10.02
04/28/2024,04/28/2024,Rewards,Credit,Daily Cash Deposit,USD,9.8
04/28/2024,04/28/2024,Rewards,Credit,Daily Cash Deposit,USD,0.35
04/27/2024,04/27/2024,Rewards,Credit,Daily Cash Deposit,USD,1.02
04/25/2024,04/25/2024,ACH,Credit,ACH Online transfer from CAPITAL ONE N.A. *******7422,USD,100.0
04/24/2024,04/24/2024,Rewards,Credit,Daily Cash Deposit,USD,0.07
04/23/2024,04/23/2024,Rewards,Credit,Daily Cash Deposit,USD,0.66
04/18/2024,04/18/2024,ACH,Credit,ACH Online transfer from CAPITAL ONE N.A. *******7422,USD,100.0
04/11/2024,04/11/2024,ACH,Credit,ACH Online transfer from CAPITAL ONE N.A. *******7422,USD,100.0
04/11/2024,04/11/2024,Rewards,Credit,Daily Cash Deposit,USD,0.1
04/08/2024,04/08/2024,Rewards,Credit,Daily Cash Deposit,USD,1.19
04/06/2024,04/06/2024,Rewards,Credit,Daily Cash Deposit,USD,0.57
04/06/2024,04/06/2024,Rewards,Credit,Daily Cash Deposit,USD,0.43
04/06/2024,04/06/2024,Rewards,Credit,Daily Cash Deposit,USD,0.05
04/04/2024,04/04/2024,ACH,Credit,ACH Online transfer from CAPITAL ONE N.A. *******7422,USD,100.0
04/03/2024,04/03/2024,Rewards,Credit,Daily Cash Deposit,USD,0.42
03/31/2024,04/01/2024,Interest,Credit,Interest Paid,USD,9.13
03/30/2024,03/30/2024,Rewards,Credit,Daily Cash Deposit,USD,1.49
03/28/2024,03/28/2024,ACH,Credit,ACH Online transfer from CAPITAL ONE N.A. *******7422,USD,100.0
03/28/2024,03/28/2024,Rewards,Credit,Daily Cash Deposit,USD,0.07
03/21/2024,03/21/2024,ACH,Credit,ACH Online transfer from CAPITAL ONE N.A. *******7422,USD,50.0
03/20/2024,03/20/2024,Rewards,Credit,Daily Cash Deposit,USD,0.67
03/19/2024,03/19/2024,Rewards,Credit,Daily Cash Deposit,USD,1.4
03/16/2024,03/16/2024,Rewards,Credit,Daily Cash Deposit,USD,0.61
03/14/2024,03/14/2024,ACH,Credit,ACH Online transfer from CAPITAL ONE N.A. *******7422,USD,50.0
03/12/2024,03/12/2024,Rewards,Credit,Daily Cash Deposit,USD,0.38
03/11/2024,03/11/2024,Rewards,Credit,Daily Cash Deposit,USD,0.3
03/11/2024,03/11/2024,Rewards,Credit,Daily Cash Deposit,USD,0.1
03/09/2024,03/09/2024,Rewards,Credit,Daily Cash Deposit,USD,0.66
03/09/2024,03/09/2024,Rewards,Credit,Daily Cash Deposit,USD,0.09
03/07/2024,03/07/2024,ACH,Credit,ACH Online transfer from CAPITAL ONE N.A. *******7422,USD,50.0
03/05/2024,03/05/2024,Rewards,Credit,Daily Cash Deposit,USD,0.49
03/03/2024,03/03/2024,Rewards,Credit,Daily Cash Deposit,USD,0.4
06/30/2023,07/01/2023,Interest,Credit,Interest Paid,USD,1.47
06/29/2023,06/29/2023,ACH,Credit,ACH Online transfer from CITIZENS BANK NA ******5551,USD,50.0
06/29/2023,06/29/2023,Rewards,Credit,Daily Cash Deposit,USD,0.39
06/28/2023,06/28/2023,Rewards,Credit,Daily Cash Deposit,USD,0.71
06/25/2023,06/25/2023,Rewards,Credit,Daily Cash Deposit,USD,0.37
06/22/2023,06/22/2023,ACH,Credit,ACH Online transfer from CITIZENS BANK NA ******5551,USD,50.0
06/21/2023,06/21/2023,Rewards,Credit,Daily Cash Deposit,USD,0.79
06/18/2023,06/18/2023,Rewards,Credit,Daily Cash Deposit,USD,0.41
06/16/2023,06/16/2023,ACH,Credit,ACH Online transfer from CITIZENS BANK NA ******5551,USD,50.0
06/16/2023,06/16/2023,Rewards,Credit,Daily Cash Deposit,USD,0.52
06/11/2023,06/11/2023,Rewards,Credit,Daily Cash Deposit,USD,0.1
06/09/2023,06/09/2023,ACH,Credit,ACH Online transfer from CITIZENS BANK NA ******5551,USD,50.0
06/05/2023,06/05/2023,Rewards,Credit,Daily Cash Deposit,USD,0.33
06/05/2023,06/05/2023,Rewards,Credit,Daily Cash Deposit,USD,0.62
06/04/2023,06/04/2023,Rewards,Credit,Daily Cash Deposit,USD,0.43
06/04/2023,06/04/2023,Rewards,Credit,Daily Cash Deposit,USD,0.21
06/03/2023,06/03/2023,ACH,Credit,ACH Online transfer from CITIZENS BANK NA ******5551,USD,50.0
07/31/2023,08/01/2023,Interest,Credit,Interest Paid,USD,2.31
07/30/2023,07/30/2023,Rewards,Credit,Daily Cash Deposit,USD,0.14
07/27/2023,07/27/2023,Rewards,Credit,Daily Cash Deposit,USD,0.97
07/25/2023,07/25/2023,Rewards,Credit,Daily Cash Deposit,USD,0.57
07/25/2023,07/25/2023,ACH,Credit,ACH Online transfer from CITIZENS BANK NA ******5551,USD,50.0
07/20/2023,07/20/2023,ACH,Credit,ACH Online transfer from CITIZENS BANK NA ******5551,USD,50.0
07/17/2023,07/17/2023,Rewards,Credit,Daily Cash Deposit,USD,0.1
07/15/2023,07/15/2023,Rewards,Credit,Daily Cash Deposit,USD,0.08
07/15/2023,07/15/2023,ACH,Credit,ACH Online transfer from CITIZENS BANK NA ******5551,USD,50.0
07/15/2023,07/15/2023,Rewards,Credit,Daily Cash Deposit,USD,0.07
07/12/2023,07/12/2023,Rewards,Credit,Daily Cash Deposit,USD,0.67
07/10/2023,07/11/2023,Rewards,Credit,Daily Cash Deposit,USD,0.1
07/05/2023,07/05/2023,ACH,Credit,ACH Online transfer from CITIZENS BANK NA ******5551,USD,50.0
11/30/2023,12/01/2023,Interest,Credit,Interest Paid,USD,5.05
11/30/2023,11/30/2023,ACH,Credit,ACH Online transfer from CAPITAL ONE N.A. *******7422,USD,50.0
11/23/2023,11/23/2023,ACH,Credit,ACH Online transfer from CAPITAL ONE N.A. *******7422,USD,50.0
11/23/2023,11/23/2023,Rewards,Credit,Daily Cash Deposit,USD,0.91
11/23/2023,11/23/2023,Rewards,Credit,Daily Cash Deposit,USD,0.38
11/22/2023,11/22/2023,Rewards,Credit,Daily Cash Deposit,USD,0.19
11/22/2023,11/22/2023,Rewards,Credit,Daily Cash Deposit,USD,0.11
11/21/2023,11/21/2023,Rewards,Credit,Daily Cash Deposit,USD,0.1
11/21/2023,11/21/2023,Rewards,Credit,Daily Cash Deposit,USD,0.13
11/20/2023,11/20/2023,Rewards,Credit,Daily Cash Deposit,USD,0.7
11/20/2023,11/20/2023,Rewards,Credit,Daily Cash Deposit,USD,0.04
11/20/2023,11/20/2023,Rewards,Credit,Daily Cash Deposit,USD,0.1
11/17/2023,11/17/2023,ACH,Credit,ACH Online transfer from CAPITAL ONE N.A. *******7422,USD,50.0
11/11/2023,11/11/2023,Rewards,Credit,Daily Cash Deposit,USD,0.57
11/11/2023,11/11/2023,Rewards,Credit,Daily Cash Deposit,USD,0.42
11/11/2023,11/11/2023,Rewards,Credit,Daily Cash Deposit,USD,0.1
11/10/2023,11/10/2023,ACH,Credit,ACH Online transfer from CAPITAL ONE N.A. *******7422,USD,50.0
11/09/2023,11/09/2023,ACH,Debit,Reversal of ACH Online transfer from CAPITAL ONE N.A. *******7422,USD,50.0
11/09/2023,11/09/2023,ACH,Credit,ACH Online transfer from CAPITAL ONE N.A. *******7422,USD,50.0
11/09/2023,11/09/2023,ACH,Debit,Reversal of ACH Online transfer from CAPITAL ONE N.A. *******7422,USD,50.0
11/09/2023,11/09/2023,ACH,Credit,ACH Online transfer from CAPITAL ONE N.A. *******7422,USD,50.0
11/04/2023,11/04/2023,Rewards,Credit,Daily Cash Deposit,USD,1.99
11/03/2023,11/03/2023,ACH,Credit,ACH Online transfer from CAPITAL ONE N.A. *******7422,USD,50.0
